Agreement Number,Sponsor Name,Site Number,Site Name,ADM,Applications Reduced,Applications Free,Needy %,Grade Level
920, WAKE COUNTY SCHOOLS  ,302, RIVER BEND ELEMENTAR ,643,72,342,64.39%,K    05
920, WAKE COUNTY SCHOOLS  ,304, ADAMS ELEMENTARY     ,797,34,225,32.50%,K    05
920, WAKE COUNTY SCHOOLS  ,306, HERBERT AKINS RD ELE ,771,37,214,32.56%,K    05
920, WAKE COUNTY SCHOOLS  ,307, ALSTON RIDGE ELEMENT ,502,20,57,15.34%,K    05
920, WAKE COUNTY SCHOOLS  ,308, APEX ELEMENTARY      ,671,38,202,35.77%,K    05
920, WAKE COUNTY SCHOOLS  ,312, APEX MIDDLE          ,1043,42,220,25.12%,06   08
920, WAKE COUNTY SCHOOLS  ,316, APEX HIGH            ,2293,47,234,12.25%,09   12
920, WAKE COUNTY SCHOOLS  ,318, ATHENS DRIVE HIGH    ,1870,78,622,37.43%,09   12
920, WAKE COUNTY SCHOOLS  ,320, AVERSBORO ELEMENTARY ,551,52,307,65.15%,K    05
920, WAKE COUNTY SCHOOLS  ,324, LONGVIEW             ,107,5,33,35.51%,06   12
920, WAKE COUNTY SCHOOLS  ,325, BANKS RD ELEMENTARY  ,663,23,248,40.87%,K    05
920, WAKE COUNTY SCHOOLS  ,326, BAILEYWICK ROAD ELEM ,441,16,211,51.47%,K    05
920, WAKE COUNTY SCHOOLS  ,327, BALLENTINE ELEMENTAR ,651,21,165,28.57%,K    05
920, WAKE COUNTY SCHOOLS  ,328, BAUCOM ELEMENTARY    ,821,35,174,25.46%,K    05
920, WAKE COUNTY SCHOOLS  ,329, BARWELL ROAD ELEMENT ,776,101,498,77.19%,K    05
920, WAKE COUNTY SCHOOLS  ,334, BRASSFIELD ELEMENTAR ,755,11,104,15.23%,K    05
920, WAKE COUNTY SCHOOLS  ,336, BRENTWOOD ELEMENTARY ,400,48,340,97.00%,K    05
920, WAKE COUNTY SCHOOLS  ,340, BRIARCLIFF ELEMENTAR ,568,39,224,46.30%,K    05
920, WAKE COUNTY SCHOOLS  ,342, BRIER CREEK ELEMENTA ,782,24,151,22.38%,K    05
920, WAKE COUNTY SCHOOLS  ,344, BROOKS ELEMENTARY    ,574,25,172,34.32%,K    05
920, WAKE COUNTY SCHOOLS  ,348, NEEDHAM BROUGHTON HI ,2104,98,683,37.12%,09   12
920, WAKE COUNTY SCHOOLS  ,352, BUGG ELEMENTARY      ,488,63,281,70.49%,K    05
920, WAKE COUNTY SCHOOLS  ,356, CARNAGE MIDDLE       ,1118,80,419,44.63%,06   08
920, WAKE COUNTY SCHOOLS  ,358, CARPENTER ELEMENTARY ,732,146,148,40.16%,K    05
920, WAKE COUNTY SCHOOLS  ,360, CARROLL MIDDLE       ,680,58,368,62.65%,06   08
920, WAKE COUNTY SCHOOLS  ,362, CARVER ELEMENTARY    ,443,20,362,86.23%,K    05
920, WAKE COUNTY SCHOOLS  ,364, CARY ELEMENTARY      ,484,30,169,41.12%,K    05
920, WAKE COUNTY SCHOOLS  ,368, CARY HIGH            ,2210,146,625,34.89%,09   12
