CODE	SCHOOL NAME 	TYPE	GRADES	SCHOOL ENROLL 2004-05	KI	1st GRADE	2nd GRADE	3rd GRADE	4th GRADE	5th GRADE	6th GRADE	7th GRADE	8th GRADE	9th GRADE	10th GRADE	11th GRADE	12th GRADE	Male	Female	Percent American Indian	Percent Asian	Percent Hispanic or Latino	Percent Black or African American	Percent White	Percent Multi - Racial	Level 1- 2 Performance 2003-04	AVG 2-YR Level 1- 2 Performance	Percent F&R	Percent ESL	TITLE 1 PROGRAM	School Building Capacity	Special Need Programs Adjustment 	Optimum Mobiles	Long-Range School Capacity	Actual Mobile Units	Annual School Campus Capacity	20th Day Actual Membership	Percent in Permanent Seats	Percent Campus Crowding	PLANNING AREA	SCHOOL BOARD DISTRICT	SCHOOL BOARD MEMBER	AREA ASSISTANT SUPERINTENDENT DISTRICT	AREA ASSISTANT SUPERINTENDENT 	TYPE	MODEL	LEVEL	Extra Teritorial Jurisdiction (ETJ)
304	ADAMS ELEMENTARY	Y-R	KI-5	839	150	144	143	141	125	136								400	439	0.6%	5.7%	20.0%	9.5%	59.0%	5.1%	6.9%	5.5%	25.5%	14.9%	NO	722	-76	3	715	8	830	839	77.0%	101.1%	C	District 9 (Western Wake)	Mrs. Eleanor Goettee	Western Wake County	Kathryn Chontos	Year-Round	Standard Y/R	Elementary	Cary
308	APEX ELEMENTARY	T	KI-5	661	114	117	116	83	103	128								346	315	0.5%	1.7%	9.4%	18.6%	65.1%	4.8%	5.7%	5.1%	30.2%	7.0%	YES	586	0	0	586	0	586	661	88.7%	112.8%	C	District 8 (South Wake)	Mr. Ron Margiotta 	South Central Wake County	Julye Mizelle	Traditional	Standard	Elementary	Apex
312	APEX MIDDLE	T	.6-8	1105							371	390	344					569	536	0.5%	3.0%	6.3%	10.7%	76.9%	2.5%	4.6%	5.4%	14.4%	1.8%	NO	981	-6	0	975	0	975	1105	88.2%	113.3%	C	District 8 (South Wake)	Mr. Ron Margiotta 	South Central Wake County	Julye Mizelle	Traditional	Standard	Middle	Apex
316	APEX HIGH	T	.9-12	2314										679	601	548	486	1120	1194	0.3%	3.5%	4.6%	9.7%	79.7%	2.2%	2.1%	NA	8.4%	1.9%	NO	1639	0	1	1663	20	2119	2314	70.8%	109.2%	C	District 8 (South Wake)	Mr. Ron Margiotta 	South Central Wake County	Julye Mizelle	Traditional	Standard	High	Apex
318	ATHENS DRIVE HIGH	T	.9-12	1767										551	443	409	364	889	878	0.3%	6.6%	7.5%	22.1%	61.6%	1.9%	4.9%	NA	19.7%	6.1%	NO	1735	-111	3	1696	7	1792	1767	91.9%	98.6%	A	District 5 (South Central Raleigh)	Ms. Susan Parry	South Central Wake County	Julye Mizelle	Traditional	Standard	High	Raleigh
320	AVERSBORO ELEMENTARY	T	KI-5	576	113	102	84	105	93	79								296	280	0.3%	0.9%	17.5%	49.1%	27.6%	4.5%	12.3%	12.5%	52.9%	7.5%	YES	379	-60	5	434	8	503	576	55.4%	114.5%	D	District 2 (Southeast Wake)	Mr. Horace J. Tart	Southern Wake County	Lloyd Gardner	Traditional	Standard	Elementary	Garner
324	LONGVIEW SCHOOL	S	.6-12	94							6	14	16	25	18	7	8	83	11	0.0%	0.0%	1.1%	70.2%	23.4%	5.3%	NA	NA	NA	NA	NO	102	0	0	102	15	207	94	108.5%	45.4%	A	District 4 (East Raleigh)	Ms. Rosa Gill	Central Wake County	Jonibel Willis	Special/Optional	Longview (6-12)	Special	Raleigh
326	BAILEYWICK ELEMENTARY	T	KI-5	573	92	90	112	112	78	89								294	279	0.2%	1.0%	22.3%	12.4%	60.9%	3.1%	9.5%	8.4%	29.5%	15.4%	NO	471	63	0	534	0	534	573	93.2%	107.3%	B	District 3 (North Raleigh)	Mrs. Carol Parker, Vice Chair	Northern Wake County	Ann Hooker	Traditional	Standard	Elementary	Raleigh
327	BALLENTINE ELEMENTARY	T	KI-5	685	142	129	116	119	100	79								328	357	0.6%	0.9%	16.4%	13.1%	66.0%	3.1%	8.9%	10.0%	25.8%	5.0%	NO	563	0	4	655	4	655	685	82.2%	104.6%	E	District 2 (Southeast Wake)	Mr. Horace J. Tart	Southern Wake County	Lloyd Gardner	Traditional	Standard	Elementary	Fuquay-Varina
328	BAUCOM ELEMENTARY	T	KI-5	836	156	139	126	145	142	128								433	403	0.1%	10.9%	7.1%	8.9%	69.5%	3.6%	3.1%	3.3%	13.3%	4.3%	NO	632	28	7	821	8	844	836	78.9%	99.1%	C	District 8 (South Wake)	Mr. Ron Margiotta 	South Central Wake County	Julye Mizelle	Traditional	Standard	Elementary	Apex
334	BRASSFIELD ELEMENTARY	T	KI-5	678	119	117	112	137	91	102								371	307	0.1%	1.6%	9.3%	6.0%	81.0%	1.9%	2.4%	2.5%	11.2%	4.7%	NO	540	0	0	540	5	655	678	79.6%	103.5%	B	District 3 (North Raleigh)	Mrs. Carol Parker, Vice Chair	Northern Wake County	Ann Hooker	Traditional	Standard	Elementary	Wake County
336	BRENTWOOD ELEMENTARY	T	KI-5	533	99	92	109	90	63	80								301	232	0.0%	3.0%	35.1%	45.0%	12.6%	4.3%	20.5%	17.3%	67.8%	24.6%	YES	471	-193	2	324	5	393	533	52.2%	135.6%	A 	District 6 (Central Raleigh)	Ms. Beverley Clark	Northern Wake County	Ann Hooker	Traditional	Standard	Elementary	Raleigh
340	BRIARCLIFF ELEMENTARY	T	KI-5	449	97	79	74	71	61	67								250	199	0.4%	1.3%	23.6%	20.7%	49.2%	4.7%	11.0%	12.7%	41.1%	10.9%	YES	540	-34	0	506	0	506	449	112.7%	88.7%	C	District 9 (Western Wake)	Mrs. Eleanor Goettee	Western Wake County	Kathryn Chontos	Traditional	Standard	Elementary	Cary
344	BROOKS ELEMENTARY	M	KI-5	589	107	114	102	110	78	78								310	279	0.5%	3.1%	5.3%	37.9%	49.2%	4.1%	13.1%	13.2%	29.7%	NA	YES	454	26	0	480	0	480	589	81.5%	122.7%	A  	District 6 (Central Raleigh)	Ms. Beverley Clark	Central Wake County	Jonibel Willis	Magnet	Museums Magnet	Elementary	Raleigh
348	BROUGHTON HIGH	M	.9-12	2109										624	503	486	496	1077	1032	0.1%	4.2%	5.2%	24.5%	63.9%	2.1%	3.0%	NA	18.2%	3.7%	NO	1799	-27	0	1772	13	2084	2109	84.0%	101.2%	A	District 5 (South Central Raleigh)	Ms. Susan Parry	Central Wake County	Jonibel Willis	Magnet	International Baccalaureate Magnet	High	Raleigh
352	BUGG ELEMENTARY	M	KI-5	443	69	75	68	77	75	79								214	229	0.0%	1.1%	2.0%	67.5%	26.6%	2.7%	8.3%	10.6%	39.4%	NA	YES	297	12	0	309	4	401	443	69.8%	110.5%	A	District 4 (East Raleigh)	Ms. Rosa Gill	South Central Wake County	Julye Mizelle	Magnet	Creative Arts & Sciences Magnet	Elementary	Raleigh
356	CARNAGE MIDDLE	M	.6-8	1100							346	366	388					578	522	0.1%	6.6%	9.3%	51.4%	29.8%	2.8%	12.3%	11.4%	37.3%	3.3%	NO	877	-36	4	945	3	919	1100	76.5%	119.7%	A	District 4 (East Raleigh)	Ms. Rosa Gill	South Central Wake County	Julye Mizelle	Magnet	G/T Magnet	Middle	Raleigh
