CODE	SCHOOL NAME	CALENDAR	PROGRAM MODEL NAME	GRADE	LEVEL	TYPE	SCHOOL ENROLL 2006-07	KI	1st GRADE	2nd GRADE	3rd GRADE	4th GRADE	5th GRADE	6th GRADE	7th GRADE	8th GRADE	9th GRADE	10th GRADE	11th GRADE	12th GRADE	Male	Female	Percent American Indian	Percent Asian	Percent Hispanic or Latino	Percent Black or African American	Percent White	Percent Multi - Racial	Level 1- 2 Performance	AVG 2-YR Level 1- 2 Performance	HS Level 1-2 Performance	Percent F&R	Percent ESL	Percent LEP	TITLE 1 PROGRAM	School Building Capacity	Special Need Programs Adjustment 	Optimum Mobile Units	Long-Range School Capacity	Actual Mobiles	Annual School Campus Capacity 2006	20th Day Actual Membership	Percent in Permanent Seats	Percent Crowding	SCHOOL BOARD DISTRICT	SCHOOL BOARD MEMBER	AREA SUPERINTENDENT DISTRICT	AREA SUPERINTENDENT NAME	Extra Teritorial Jurisdiction (ETJ)
302	River Bend Elementary	Year-Round	Modular	KI-5	E	Y-R	489	95	104	79	76	80	55								216	273	0.0%	6.1%	37.4%	33.1%	18.0%	5.3%				56.9%	19.0%	29.7%	YES	0	0	0	0	32	471	489	0.0%	103.8%	District 3 (North Raleigh)	Carol Parker	Central Wake County	Jonibel Willis	Raleigh
304	Adams Elementary	Year-Round	Standard Y/R	KI-5	E	Y-R	798	127	153	136	130	133	119								397	401	0.5%	6.0%	21.6%	12.0%	54.8%	5.1%	6.3%	6.6%		34.1%	14.8%	21.3%	NO	722	-74	3	717	9	855	798	81.2%	93.3%	District 9 (Western Wake)	Eleanor Goettee	Western Wake County	Kathryn Chontos	Cary
308	Apex Elementary	Traditional	Standard	KI-5	E	T	639	101	121	103	115	89	110								320	319	0.0%	2.0%	11.6%	18.8%	63.4%	4.2%	5.4%	5.5%		29.1%	6.6%	9.2%	YES	586	-23	0	563	2	609	639	88.1%	104.9%	District 8 (South Wake)	Ron Margiotta	South Central Wake County	Julye Mizelle	Apex
312	Apex Middle 	Traditional	Standard	.6-8	M	T	1166							392	366	408					635	531	0.4%	2.7%	6.8%	9.9%	76.6%	3.6%	4.2%	4.4%		14.0%	1.9%	3.3%	NO	981	7	0	988	0	988	1166	84.7%	118.0%	District 8 (South Wake)	Ron Margiotta	South Central Wake County	Julye Mizelle	Apex
316	Apex High	Traditional	Standard	.9-12	H	T	2215	0									568	513	600	534	1075	1140	0.2%	3.6%	5.0%	8.8%	80.5%	2.0%			2.3%	7.7%	2.0%	2.9%	NO	1639	0	1	1663	20	2119	2215	74.0%	104.5%	District 8 (South Wake)	Ron Margiotta	South Central Wake County	Julye Mizelle	Apex
318	Athens Drive High 	Traditional	Standard	.9-12	H	T	1900										560	512	421	407	965	935	0.3%	6.6%	8.1%	26.1%	56.6%	2.4%			5.3%	23.8%	7.7%	9.0%	NO	1735	-105	3	1702	7	1798	1900	85.8%	105.7%	District 5 (South Central Raleigh)	Susan Parry	South Central Wake County	Julye Mizelle	Raleigh
320	Aversboro Elementary	Traditional	Standard	KI-5	E	T	596	119	104	96	78	102	97								299	297	0.3%	2.0%	21.3%	43.3%	27.9%	5.2%	8.5%	10.4%		56.4%	10.4%	16.4%	YES	379	-83	5	411	10	526	596	49.7%	113.3%	District 2 (Southeast Wake)	Horace Tart	Southern Wake County	Lloyd Y. Gardner	Garner
324	Longview School	Special/Optional	Longview (6-12)	.6-12	M, H	S/O	107							13	10	20	30	18	12	4	97	10	0.0%	0.0%	0.0%	79.4%	15.9%	4.7%	45.0%	53.2%	34.1%	71.0%	0.0%	0.0%	NO	158	0	0	158	7	207	107	147.7%	48.4%	District 4 (East Raleigh)	Rosa Gill	Central Wake County	Jonibel Willis	Raleigh
326	Baileywick Elementary	Traditional	Standard	KI-5	E	T	607	118	105	85	117	102	80								309	298	0.0%	1.5%	25.7%	11.4%	58.6%	2.8%	13.2%	11.3%		32.5%	14.8%	19.8%	NO	471	26	0	497	0	497	607	81.9%	122.1%	District 3 (North Raleigh)	Carol Parker	Northern Wake County	Ann Hooker	Raleigh
327	Ballentine Elementary	Traditional	Standard	KI-5	E	T	757	140	139	141	108	132	97								372	385	0.8%	1.2%	16.4%	10.2%	68.3%	3.2%	8.6%	8.7%		25.6%	9.5%	10.7%	NO	563	60	4	715	6	761	757	82.3%	99.5%	District 2 (Southeast Wake)	Horace Tart	Southern Wake County	Lloyd Y. Gardner	Fuquay-Varina
