SCHOOL NAME	GRADE	LEVEL	CALENDAR	MAGNET PROGRAM	SCHOOL ENROLL 2007-08	KI	1st GRADE	2nd GRADE	3rd GRADE	4th GRADE	5th GRADE	6th GRADE	7th GRADE	8th GRADE	9th GRADE	10th GRADE	11th GRADE	12th GRADE	MALE	FEMALE	Percent American Indian	Percent Asian	Percent Hispanic or Latino	Percent Black or African American	Percent White	Percent Multi - Racial	Level 1- 2 Performance	AVG 2-YR Level 1- 2 Performance	HS Level 1-2 Performance	Percent F&R	Percent ESL	Percent LEP	TITLE 1 PROGRAM	School Building Capacity	Special Need Programs Adjustment 	Optimum Mobile Units	Long-Range School Capacity	Actual Mobiles	Annual School Campus Capacity 2006	20th Day Actual Membership	Percent in Permanent Seats	Percent Crowding	SCHOOL BOARD DISTRICT	SCHOOL BOARD MEMBER	AREA SUPERINTENDENT DISTRICT	AREA SUPERINTENDENT NAME	School Location in Extra Teritorial Jurisdiction (ETJ)	School Location in Municipal Corp. Limits 
River Bend Elementary	KI-5	E	Y-R	N/A	515	102	102	89	68	78	76								274	241	0.0%	5.6%	36.9%	31.7%	19.0%	6.8%	12.9%	12.9%		57.5%	18.6%	32.8%	YES	0	0	3	52	32	553	515	0.0%	93.1%	North Raleigh	Kevin Hill	Central Wake County	Jonibel Willis	Raleigh	WAKE COUNTY
Adams Elementary	KI-5	E	Y-R	N/A	768	127	129	136	139	116	121								408	360	0.7%	7.2%	21.2%	10.5%	55.9%	4.6%	5.5%	5.9%		29.8%	12.1%	20.6%	YES	705	-74	0	631	9	838	768	82.2%	91.6%	Western Wake	Eleanor Goettee	Western Wake County	Kathryn Chontos	Cary	CARY
Apex Elementary	KI-5	E	T	N/A	664	97	113	117	108	125	104								333	331	0.0%	2.6%	10.2%	20.3%	60.7%	6.2%	6.0%	5.7%		32.1%	7.4%	9.5%		586	46	0	632	2	678	664	95.2%	97.9%	Southern Wake	Ron Margiotta	South Central Wake County	Julye Mizelle	Apex	APEX
Apex Middle 	.6-8	M	T	N/A	1072							287	394	391					568	504	0.2%	4.1%	8.7%	10.3%	72.0%	4.8%	4.3%	4.2%		16.7%	2.8%	6.1%		981	42	0	1023	0	1023	1072	95.4%	104.8%	Southern Wake	Ron Margiotta	South Central Wake County	Julye Mizelle	Apex	APEX
Apex High	.9-12	H	T	N/A	2248										613	525	523	587	1132	1116	0.2%	3.8%	5.2%	8.3%	79.8%	2.7%			2.4%	7.8%	1.8%	3.0%		1639	-30	1	1633	20	2089	2248	71.6%	107.6%	Southern Wake	Ron Margiotta	South Central Wake County	Julye Mizelle	Apex	APEX
Athens Drive High 	.9-12	H	T	N/A	1909										608	449	443	409	986	923	0.4%	6.8%	8.6%	27.2%	54.4%	2.6%			6.1%	25.9%	7.1%	9.3%		1735	-156	3	1651	7	1747	1909	82.7%	109.3%	South Central Raleigh	Anne McLaurin	South Central Wake County	Julye Mizelle	Raleigh	RALEIGH
Aversboro Elementary	KI-5	E	T	N/A	550	101	112	78	94	73	92								291	259	0.4%	2.0%	19.1%	38.7%	34.7%	5.1%	7.5%	8.0%		53.3%	9.8%	15.3%	YES	379	-69	5	425	11	563	550	56.4%	97.7%	Southeast Wake	Horace Tart	Southern Wake County	Lloyd Y. Gardner	Garner	GARNER
Longview School	.6-12	S	T	N/A	106							15	14	15	33	19	8	2	88	18	0.0%	0.0%	1.9%	78.3%	16.0%	3.8%	50.0%	47.5%	34.8%	72.6%	0.0%	0.9%		158	0	0	158	0	158	106	149.1%	67.1%	East Raleigh	Rosa Gill	Central Wake County	Jonibel Willis	Raleigh	RALEIGH
Baileywick Elementary	KI-5	E	T	N/A	580	92	109	101	85	102	91								285	295	0.0%	1.6%	19.5%	10.5%	64.5%	4.0%	11.5%	12.3%		25.9%	14.3%	16.2%		471	40	0	511	0	511	580	88.1%	113.5%	North Raleigh	Kevin Hill	Northern Wake County	Ann Hooker	Raleigh	RALEIGH
Ballentine Elementary	KI-5	E	Y-R	N/A	743	150	132	129	116	100	116								381	362	0.4%	1.1%	18.0%	7.1%	70.1%	3.2%	6.5%	7.5%		21.5%	10.9%	12.2%		682	14	4	788	6	834	743	93.7%	89.1%	Southeast Wake	Horace Tart	Southern Wake County	Lloyd Y. Gardner	Fuquay-Varina	FUQUAY-VARINA
