Level,School Name,Grade,Calendar,Magnet Program,School Membership 2008-09,KI-Kindergarten,1st GRADE,2nd GRADE,3rd GRADE,4th GRADE,5th GRADE,6th GRADE,7th GRADE,8th GRADE,9th GRADE,10th GRADE,11th GRADE,12th GRADE,MALE,FEMALE,American Indian,Asian,Hispanic or Latino,Black or African American,White,Multi - Racial,Percent American Indian,Percent Asian,Percent Hispanic or Latino,Percent Black or African American,Percent White,Percent Multi - Racial,F&R,Percent F&R,ESL,Percent ESL,LEP,Percent LEP,TITLE 1 PROGRAM,NC ABC Results Performance Composite % 2007-08,"NC ABC Results Growth Recognition
 2007-08","NC ABC Results Performance Recognition
 2007-08",AYP Status,School Board District,School Board Member,Area Superintendent District,Area Superintendent,School Location in Municipal Extra Teritorial Jurisdiction,School Location in Municipal Corporate Limits ,"Number Perma-
nent Learning Spaces","20th Day Actual Member-
ship","Special Needs Program Adjust-
ment",Existing School Building Capacity,Existing Mobiles,Annual School Campus Capacity [ASCC],Percent in Mobile Units,Percent Crowding Using Existing Mobiles
E,Adams Elementary,KI-5,Y-R,N/A,670,120,115,102,113,124,96,,,,,,,,347,323,5,49,103,68,405,40,0.7%,7.3%,15.4%,10.1%,60.4%,6.0%,150,22.4%,59,8.8%,111,16.6%,NO,82.8,High Growth,School of Distinction,No,Western Wake,Eleanor Goettee,Western Area,Kathy Chontos,Cary,CARY,37,670,(16),705,8,873,21.0%,76.7%
E,Apex Elementary,KI-5,T,N/A,705,124,114,109,108,113,137,,,,,,,,362,343,1,21,87,116,435,45,0.1%,3.0%,12.3%,16.5%,61.7%,6.4%,221,31.3%,54,7.7%,79,11.2%,NO,77.7,High Growth,School of Progress,No,Southern Wake,Ron Margiotta,South-Western Area,Julye Mizelle,Apex,APEX,37,705,42,586,4,720,12.7%,97.9%
E,Aversboro Elementary,KI-5,T,N/A,584,92,99,107,89,112,85,,,,,,,,310,274,2,16,120,211,204,31,0.3%,2.7%,20.5%,36.1%,34.9%,5.3%,304,52.1%,63,10.8%,110,18.8%,YES,56.6,Expected Growth,Priority School,No,Southeast Wake,Horace Tart,Southern Area,Lloyd Gardner,Garner,GARNER,40,584,(83),655,0,572,0.0%,102.1%
E,Baileywick Elementary,KI-5,T,N/A,518,86,94,99,71,78,90,,,,,,,,269,249,,6,171,37,275,29,0.0%,1.2%,33.0%,7.1%,53.1%,5.6%,182,35.1%,108,20.8%,147,28.4%,NO,75.6,High Growth,School of Progress,No,North Raleigh,Kevin Hill,Northern Area,Ann Hooker,Raleigh,RALEIGH,32,518,54,471,0,525,0.0%,98.7%
E,Ballentine Elementary,KI-5,Y-R,N/A,789,156,155,136,128,112,102,,,,,,,,417,372,3,8,154,55,541,28,0.4%,1.0%,19.5%,7.0%,68.6%,3.5%,172,21.8%,88,11.2%,118,15.0%,NO,76.1,High Growth,School of Progress,No,Southeast Wake,Horace Tart,Southern Area,Lloyd Gardner,Fuquay-Varina,FUQUAY-VARINA,36,789,22,682,6,842,16.3%,93.7%
E,Barwell Elementary,KI-5,Y-R,N/A,840,152,134,152,136,138,128,,,,,,,,444,396,3,10,172,561,52,42,0.4%,1.2%,20.5%,66.8%,6.2%,5.0%,494,58.8%,98,11.7%,142,16.9%,YES,40.6,Not Met Exp. Growth,Low-Performing,No,Southeast Wake,Horace Tart,South-Western Area,Julye Mizelle,Raleigh,RALEIGH,48,840,(59),1009,0,950,0.0%,88.4%
E,Baucom Elementary,KI-5,Y-R,N/A,690,116,132,124,121,94,103,,,,,,,,365,325,1,59,63,53,471,43,0.1%,8.6%,9.1%,7.7%,68.3%,6.2%,82,11.9%,25,3.6%,43,6.2%,NO,85.7,Expected Growth,School of Distinction,No,Southern Wake,Ron Margiotta,South-Western Area,Julye Mizelle,Apex,APEX,39,690,100,802,10,1132,20.3%,61.0%
E,Brassfield Elementary,KI-5,Y-R,N/A,769,127,146,117,131,129,119,,,,,,,,404,365,2,20,65,67,576,39,0.3%,2.6%,8.5%,8.7%,74.9%,5.1%,93,12.1%,44,5.7%,47,6.1%,NO,85.4,High Growth,School of Distinction,Yes,North Raleigh,Kevin Hill,Northern Area,Ann Hooker,Wake County,WAKE COUNTY,35,769,0,659,5,774,14.8%,99.4%
E,Brentwood Elementary,KI-5,T,N/A,394,87,69,61,71,55,51,,,,,,,,180,214,,14,177,151,34,18,0.0%,3.6%,44.9%,38.3%,8.6%,4.6%,275,69.8%,91,23.1%,134,34.0%,YES,50.3,High Growth,Priority School,No,Central Raleigh,Beverley Clark,North-Eastern Area,Andre Smith,Raleigh,RALEIGH,32,394,(107),471,5,479,24.0%,82.3%
E,Briarcliff Elementary,KI-5,T,N/A,560,97,105,94,103,74,87,,,,,,,,289,271,5,13,123,90,307,22,0.9%,2.3%,22.0%,16.1%,54.8%,3.9%,197,35.2%,38,6.8%,95,17.0%,YES,70.9,High Growth,School of Progress,No,Western Wake,Eleanor Goettee,Western Area,Kathy Chontos,Cary,CARY,35,560,(50),540,4,582,15.8%,96.2%
