Code,Level,School Name,Calendar,Magnet Program,School Membership 2009-10,KI GRADE,1st GRADE,2nd GRADE,3rd GRADE,4th GRADE,5th GRADE,6th GRADE,7th GRADE,8th GRADE,9th GRADE,10th GRADE,11th GRADE,12th GRADE,MALE,FEMALE,American Indian,Asian,Hispanic or Latino,Black or African American,White,Multi-Racial,Percent American Indian,Percent Asian,Percent Hispanic or Latino,Percent Black or African American,Percent White,Percent Multi-Racial,F&R,Percent F&R,ESL,Percent ESL,LEP,Percent LEP,TITLE 1 PROGRAM,NC ABC Results Performance Composite % 2008-09,"NC ABC Results Growth Recognition
 2008-09","NC ABC Results Performance Recognition
 2008-09",AYP Status,School Board District,School Board Member,Area Superintendent District,Area Superintendent,School Location in Municipal Extra Teritorial Jurisdiction,School Location in Municipal Corporate Limits ,"Number Perma-
nent Learning Spaces","20th Day Actual Member-
ship","Special Needs Program Adjust-
ment",Existing School Building Capacity,Existing Mobiles,Annual School Campus Capacity [ASCC],Percent in Mobile Units,Percent Crowding Using Existing Mobiles
304,E,Adams Elementary,Y-R,N/A,730,121,130,117,114,121,127,,,,,,,,385,345,3,58,109,85,437,38,0.4%,7.9%,14.9%,11.6%,59.9%,5.2%,158,21.5%,66,9.0%,110,15.1%,NO,90.5%,High Growth,Honor Schools of Excellence,Yes,Western Wake,Debra Goldman,Western Wake County,Kathryn Chontos,Cary,CARY,37,730,(16),705,8,873,21.0%,83.6%
308,E,Apex Elementary,T,N/A,651,103,133,104,104,105,102,,,,,,,,332,319,1,18,111,85,399,37,0.2%,2.8%,17.1%,13.1%,61.3%,5.7%,207,31.7%,42,6.5%,84,12.9%,NO,83.5%,High Growth,School of Distinction,Yes,Southern Wake,Ron Margiotta,SouthWestern Wake County,Julye Mizelle,Apex,APEX,37,651,42,586,4,720,12.7%,90.4%
320,E,Aversboro Elementary,T,N/A,555,73,82,104,100,89,107,,,,,,,,291,264,3,24,114,177,201,36,0.5%,4.3%,20.5%,31.9%,36.2%,6.5%,305,54.9%,54,9.7%,92,16.6%,YES,64.5%,Expected Growth,School of Progress,No,Southeast Wake,John Tedesco,Southern Wake County,Lloyd Gardner,Garner,GARNER,40,555,(83),655,0,572,0.0%,97.0%
326,E,Baileywick Elementary,T,N/A,467,66,81,82,89,72,77,,,,,,,,242,225,,5,134,67,240,21,0.0%,1.1%,28.7%,14.3%,51.4%,4.5%,183,38.9%,61,13.1%,113,24.2%,YES,79.8%,Expected Growth,School of Progress,Yes,North Raleigh,Kevin Hill,Northern Wake County,Ann Hooker,Raleigh,RALEIGH,32,467,(15),471,0,456,0.0%,102.4%
327,E,Ballentine Elementary,Y-R,N/A,668,107,122,122,107,111,99,,,,,,,,358,310,4,7,172,44,411,30,0.6%,1.0%,25.7%,6.6%,61.5%,4.5%,220,32.3%,98,14.7%,124,18.6%,NO,80.6%,High Growth,School of Distinction,Yes,Southeast Wake,John Tedesco,Southern Wake County,Lloyd Gardner,Fuquay-Varina,FUQUAY-VARINA,36,668,22,682,4,796,11.5%,83.9%
325,E,Banks Road Elementary,Y-R,N/A,585,107,115,111,102,72,78,,,,,,,,294,291,2,2,112,75,368,26,0.3%,0.3%,19.1%,12.8%,62.9%,4.4%,194,32.2%,63,10.8%,89,15.2%,NO,N/A,N/A,N/A,N/A,Southeast Wake,John Tedesco,Southern Wake County,Lloyd Gardner,Fuquay-Varina,FUQUAY-VARINA,51,585,0,862,0,862,0.0%,67.9%
329,E,Barwell Elementary,Y-R,N/A,759,106,134,127,144,121,127,,,,,,,,411,348,3,13,179,481,44,39,0.4%,1.7%,23.6%,63.4%,5.8%,5.1%,491,62.2%,100,13.2%,132,17.4%,YES,50.7%,Not Met  Expected Growth,Priority School,Yes,Southeast Wake,John Tedesco,SouthWestern Wake County,Julye Mizelle,Raleigh,RALEIGH,48,759,19,1009,0,1028,0.0%,73.8%
328,E,Baucom Elementary,T,N/A,699,109,140,107,133,113,97,,,,,,,,380,319,1,50,71,108,433,36,0.1%,7.2%,10.2%,15.5%,61.9%,5.2%,165,23.6%,34,4.9%,58,8.3%,NO,88.2%,High Growth,School of Distinction,Yes,Southern Wake,Ron Margiotta,SouthWestern Wake County,Julye Mizelle,Apex,APEX,39,699,3,632,10,865,26.5%,80.8%
334,E,Brassfield Elementary,Y-R,N/A,770,139,131,133,109,127,131,,,,,,,,403,367,2,19,75,60,580,34,0.3%,2.5%,9.7%,7.8%,75.3%,4.4%,104,13.3%,48,6.2%,56,7.3%,NO,88.1%,High Growth,School of Distinction,Yes,North Raleigh,Kevin Hill,Northern Wake County,Ann Hooker,Wake County,WAKE COUNTY,35,770,0,659,5,774,14.8%,99.5%
336,E,Brentwood Elementary,T,Engineering,404,60,88,68,65,58,65,,,,,,,,199,205,,13,179,153,42,17,0.0%,3.2%,44.3%,37.9%,10.4%,4.2%,310,77.9%,66,16.3%,164,40.6%,YES,56.4%,Expected Growth,Priority School,No,Central Raleigh,Carolyn Morrison,NorthEastern Wake County,Andre Smith,Raleigh,RALEIGH,32,404,(153),433,5,395,29.1%,102.3%
340,E,Briarcliff Elementary,T,N/A,538,73,93,105,94,104,69,,,,,,,,281,257,6,18,89,100,299,26,1.1%,3.3%,16.5%,18.6%,55.6%,4.8%,194,35.9%,56,10.4%,84,15.6%,YES,84.0%,High Growth,School of Distinction,Yes,Western Wake,Debra Goldman,Western Wake County,Kathryn Chontos,Cary,CARY,35,538,(87),540,4,545,16.8%,98.7%
342,E,Brier Creek Elementary ,Y-R,N/A,726,141,138,125,118,96,108,,,,,,,,368,358,2,66,60,195,350,53,0.3%,9.1%,8.3%,26.9%,48.2%,7.3%,186,25.1%,36,5.0%,67,9.2%,NO,76.5%,High Growth,School of Progress,Yes,West Raleigh/Morrisville,Deborah Prickett,Northern Wake County,Ann Hooker,Raleigh,RALEIGH,38,726,14,728,6,880,15.6%,82.5%
344,E,Brooks Elementary,T,Museums,553,106,112,93,91,70,81,,,,,,,,291,262,1,11,117,68,330,26,0.2%,2.0%,21.2%,12.3%,59.7%,4.7%,174,31.6%,69,12.5%,101,18.3%,NO,82.2%,High Growth,School of Distinction,Yes,Central Raleigh,Carolyn Morrison,Northern Wake County,Ann Hooker,Raleigh,RALEIGH,33,553,26,477,1,526,4.3%,105.1%
352,E,Bugg Elementary,T,Creative Arts & Science,400,46,61,83,64,65,81,,,,,,,,212,188,,7,30,313,41,9,0.0%,1.8%,7.5%,78.3%,10.3%,2.3%,221,54.7%,18,4.5%,27,6.8%,YES,67.6%,High Growth,School of Progress,Yes,East Raleigh,Keith Sutton,SouthWestern Wake County,Julye Mizelle,Raleigh,RALEIGH,19,400,3,113,16,484,0.0%,82.6%
358,E,Carpenter Elementary,Y-R,N/A,805,144,181,159,127,111,83,,,,,,,,403,402,1,188,92,90,393,41,0.1%,23.4%,11.4%,11.2%,48.8%,5.1%,172,21.2%,51,6.3%,113,14.0%,NO,87.5%,High Growth,School of Distinction,Yes,West Raleigh/Morrisville,Deborah Prickett,Western Wake County,Kathryn Chontos,Cary,CARY,37,805,28,705,0,733,0.0%,109.8%
362,E,Carver Elementary,MOD,N/A,419,66,76,76,66,69,66,,,,,,,,206,213,,2,98,107,182,30,0.0%,0.5%,23.4%,25.5%,43.4%,7.2%,233,54.7%,18,4.3%,65,15.5%,YES,67.8%,Not Met Expected Growth,No Recognition,Yes,Northeast Wake,Chris Malone,Eastern Wake County,Danny Barnes,Wendell,WAKE COUNTY,39,419,(131),632,5,616,18.6%,68.0%
364,E,Cary Elementary,T,N/A,506,78,85,87,84,84,88,,,,,,,,269,237,1,17,90,68,292,38,0.2%,3.4%,17.8%,13.4%,57.7%,7.5%,177,35.1%,67,13.2%,80,15.8%,NO,81.0%,High Growth,School of Distinction,Yes,Western Wake,Debra Goldman,Western Wake County,Kathryn Chontos,Cary,CARY,36,506,(32),563,0,531,0.0%,95.3%
369,E,Cedar Fork Elementary,T,N/A,845,155,167,143,140,130,110,,,,,,,,429,416,2,377,45,96,283,42,0.2%,44.6%,5.3%,11.4%,33.5%,5.0%,101,11.9%,80,9.5%,170,20.1%,NO,88.7%,High Growth,School of Distinction,Yes,West Raleigh/Morrisville,Deborah Prickett,Western Wake County,Kathryn Chontos,Morrisville,MORRISVILLE,38,845,0,609,6,747,18.4%,113.1%
376,E,Combs Elementary,T,Leadership,809,157,140,135,119,118,140,,,,,,,,417,392,2,65,105,164,431,42,0.2%,8.0%,13.0%,20.3%,53.3%,5.2%,248,30.7%,69,8.5%,111,13.7%,NO,77.9%,High Growth,School of Progress,Yes,South Central Raleigh,Anne McLaurin,Central Wake County,Cathy Moore ,Raleigh,RALEIGH,34,809,28,523,10,781,29.4%,103.6%
380,E,Conn Elementary,T,Active Learning and Technology,588,78,99,102,119,94,96,,,,,,,,318,270,,4,36,311,210,27,0.0%,0.7%,6.1%,52.9%,35.7%,4.6%,245,41.7%,12,2.0%,21,3.6%,YES,62.6%,Expected Growth,School of Progress,Yes,East Raleigh,Keith Sutton,Central Wake County,Cathy Moore ,Raleigh,RALEIGH,36,588,(41),536,4,587,15.6%,100.2%
384,E,Creech Road Elementary,T,N/A,541,63,93,108,87,104,86,,,,,,,,275,266,4,5,131,256,107,38,0.7%,0.9%,24.2%,47.3%,19.8%,7.0%,359,66.6%,59,10.9%,92,17.0%,YES,50.9%,Not Met  Expected Growth,Priority School,No,Southeast Wake,John Tedesco,Southern Wake County,Lloyd Gardner,Garner,GARNER,39,541,(147),632,5,600,19.1%,90.2%
390,E,Davis Drive Elementary,T,N/A,945,142,137,158,167,148,193,,,,,,,,467,478,1,268,96,68,458,54,0.1%,28.4%,10.2%,7.2%,48.5%,5.7%,149,15.8%,99,10.5%,162,17.1%,NO,94.2%,High Growth,Honor Schools of Excellence,Yes,Southern Wake,Ron Margiotta,Western Wake County,Kathryn Chontos,Cary,CARY,39,945,(34),632,13,897,33.3%,105.4%
393,E,Dillard Drive Elementary,T,N/A,698,115,116,114,132,130,91,,,,,,,,326,372,,62,110,136,319,71,0.0%,8.9%,15.8%,19.5%,45.7%,10.2%,304,43.4%,56,8.0%,142,20.3%,YES,87.0%,High Growth,School of Distinction,Yes,South Central Raleigh,Anne McLaurin,SouthWestern Wake County,Julye Mizelle,Raleigh,RALEIGH,36,698,(101),563,10,692,33.2%,100.9%
396,E,Douglas Elementary,T,Creative Arts & Science,612,122,113,106,98,99,74,,,,,,,,309,303,,18,111,128,327,28,0.0%,2.9%,18.1%,20.9%,53.4%,4.6%,237,38.3%,58,9.5%,75,12.3%,YES,69.1%,Expected Growth,School of Progress,Yes,Central Raleigh,Carolyn Morrison,Northern Wake County,Ann Hooker,Raleigh,RALEIGH,32,612,(32),412,10,610,37.7%,100.3%
398,E,Durant Road Elementary,Y-R,N/A,979,176,160,143,155,163,182,,,,,,,,507,472,1,25,187,248,462,56,0.1%,2.6%,19.1%,25.3%,47.2%,5.7%,288,29.5%,116,11.8%,151,15.4%,YES,74.4%,High Growth,School of Progress,Yes,North Raleigh,Kevin Hill,NorthEastern Wake County,Andre Smith,Raleigh,RALEIGH,35,979,(175),659,18,898,46.1%,109.0%
403,E,East Garner Elementary,Y-R,N/A,703,96,129,135,128,114,101,,,,,,,,351,352,,11,178,403,78,33,0.0%,1.6%,25.3%,57.3%,11.1%,4.7%,438,61.3%,90,12.8%,152,21.6%,YES,67.4%,High Growth,School of Progress,No,Southeast Wake,John Tedesco,Southern Wake County,Lloyd Gardner,Garner,GARNER,46,703,(82),963,0,881,0.0%,79.8%
414,E,Farmington Woods Elementary,T,International Baccalaureate,815,141,143,126,145,131,129,,,,,,,,397,418,4,91,125,131,410,54,0.5%,11.2%,15.3%,16.1%,50.3%,6.6%,270,33.3%,56,6.9%,113,13.9%,NO,75.8%,Expected Growth,School of Progress,Yes,Western Wake,Debra Goldman,Western Wake County,Kathryn Chontos,Cary,CARY,36,815,(46),523,13,776,38.5%,105.0%
417,E,Forest Pines Drive Elementary,T,N/A,767,113,124,142,123,127,138,,,,,,,,393,374,,39,97,157,442,32,0.0%,5.1%,12.6%,20.5%,57.6%,4.2%,239,31.2%,50,6.5%,83,10.8%,NO,79.6%,Expected Growth,School of Progress,Yes,North Raleigh,Kevin Hill,NorthEastern Wake County,Andre Smith,Raleigh,RALEIGH,40,767,0,655,0,655,0.0%,117.1%
413,E,Forestville Road Elementary,T,N/A,682,109,108,109,117,115,124,,,,,,,,324,358,3,9,166,277,189,38,0.4%,1.3%,24.3%,40.6%,27.7%,5.6%,371,55.1%,60,8.8%,119,17.4%,YES,75.2%,Expected Growth,School of Progress,Yes,Northeast Wake,Chris Malone,Eastern Wake County,Danny Barnes,Knightdale,KNIGHTDALE,39,682,(101),632,6,669,20.6%,101.9%
415,E,Fox Road Elementary,T,N/A,846,116,156,143,141,159,131,,,,,,,,440,406,1,43,218,410,137,37,0.1%,5.1%,25.8%,48.5%,16.2%,4.4%,549,64.5%,122,14.4%,195,23.0%,YES,57.7%,Not Met  Expected Growth,Priority School,No,North Raleigh,Kevin Hill,NorthEastern Wake County,Andre Smith,Raleigh,RALEIGH,35,846,(147),540,23,922,57.3%,91.8%
416,E,Fuller Elementary,T,Gifted & Talented (AG Basics),533,80,85,87,96,84,101,,,,,,,,244,289,8,211,27,178,91,18,1.5%,39.6%,5.1%,33.4%,17.1%,3.4%,168,31.4%,12,2.3%,35,6.6%,NO,78.2%,High Growth,School of Progress,Yes,East Raleigh,Keith Sutton,SouthWestern Wake County,Julye Mizelle,Raleigh,RALEIGH,30,533,3,339,8,526,34.9%,101.3%
420,E,Fuquay-Varina Elementary,T,N/A,747,113,115,121,126,140,132,,,,,,,,383,364,1,11,93,164,442,36,0.1%,1.5%,12.4%,22.0%,59.2%,4.8%,258,34.5%,27,3.6%,44,5.9%,YES,74.7%,High Growth,School of Progress,Yes,Southeast Wake,John Tedesco,Southern Wake County,Lloyd Gardner,Fuquay-Varina,FUQUAY-VARINA,38,747,(165),609,13,743,40.2%,100.5%
