Code,School Name,Level,Grade Span,Calendar,Magnet Program,School Membership 2010-11,KI GRADE,1st GRADE,2nd GRADE,3rd GRADE,4th GRADE,5th GRADE,6th GRADE,7th GRADE,8th GRADE,9th GRADE,10th GRADE,11th GRADE,12th GRADE,MALE,FEMALE,American Indian and Alaska Native,Asian,Black or African American,Hispanic or Latino,Native Hawaiian and Other Pacific Islander,Two or More Races,White,Percent American Indian and Alaska Native,Percent Asian,Percent Black or African American,Percent Hispanic or Latino,Percent Native Hawaiian and Other Pacific Islander,Percent Two or More Races,Percent White,F&R,Percent F&R,ESL,Percent ESL,LEP,Percent LEP,TITLE 1 PROGRAM,NC ABC Results Performance Composite % 2009-10,NC ABC Results Performance Recognition 2009-10,"NC ABC Results Growth Recognition
2009-10",AYP Status,School Board District,School Board Member,Area Superintendent District,Area Superintendent,School Location in Municipal Extra Teritorial Jurisdiction,School Location within Municipal Corporate Limit ,Number Permanent Learning Spaces,20th Day Actual Membership,Special Needs Program Adjustment,Existing School Building Capacity,Existing Temporary Classrooms,Annual School Campus Capacity [ASCC],Percent in Temporary Classrooms,Percent Crowding Using Existing Temp. Classrooms
304,Adams Elementary,E,KI-5 ,Y-R,N/A,806,133,136,142,130,137,128,,,,,,,,416,390,10,52,92,176,,24,452,1.2%,6.5%,11.4%,21.8%,0.0%,3.0%,56.1%,270,33.5%,65,8.1%,130,16.1%,YES,89.1%,Dst,Hgh,Yes,Western Wake,Ms. Debra Goldman,Northeastern Area,Mr. Andre Smith,Cary,CARY,37,806,-147,705,8,742,24.8%,108.6%
307,Alston Ridge Elementary,E,,Y-R,N/A,460,106,91,82,82,52,47,,,,,,,,230,230,,118,63,36,,19,224,0.0%,25.7%,13.7%,7.8%,0.0%,4.1%,48.7%,56,12.2%,20,4.3%,30,6.5%,NO,0.0%,,,,Southern Wake,Mr. Ron Margiotta,Southwestern Area,Ms. Julye Mizelle,Cary,CARY,51,460,0,"1,078",0,"1,078",0.0%,42.7%
308,Apex Elementary,E,KI-5 ,T,N/A,670,116,106,126,106,112,104,,,,,,,,343,327,2,16,94,135,,32,391,0.3%,2.4%,14.0%,20.1%,0.0%,4.8%,58.4%,228,34.0%,36,5.4%,57,8.5%,YES,85.2%,Dst,Hgh,Yes,Southern Wake,Mr. Ron Margiotta,Southwestern Area,Ms. Julye Mizelle,Apex,APEX,37,670,8,586,4,686,13.4%,97.7%
320,Aversboro Elementary,E,KI-5 ,T,N/A,560,85,75,91,122,95,92,,,,,,,,293,267,4,24,180,137,1,27,187,0.7%,4.3%,32.1%,24.5%,0.2%,4.8%,33.4%,332,59.3%,19,3.4%,77,13.8%,YES,68.8%,Pro,Exp,No,Southeast Wake,Mr. John Tedesco,Southern Area,Mr. Lloyd Gardner,Garner,GARNER,40,560,-94,655,0,561,0.0%,99.8%
326,Baileywick Elementary,E,KI-5 ,T,N/A,456,84,66,71,73,88,74,,,,,,,,242,214,,5,44,170,1,13,223,0.0%,1.1%,9.6%,37.3%,0.2%,2.9%,48.9%,196,43.0%,36,7.9%,120,26.3%,YES,80.3%,Dst,Hgh,Yes,North Raleigh,Mr. Kevin L. Hill,Northern Area,Ms. Ann Hooker,Raleigh,RALEIGH,32,456,-4,471,0,467,0.0%,97.6%
327,Ballentine Elementary,E,KI-5 ,Y-R,N/A,653,106,110,116,113,101,107,,,,,,,,340,313,2,7,33,196,,15,400,0.3%,1.1%,5.1%,30.0%,0.0%,2.3%,61.3%,205,31.4%,98,15.0%,126,19.3%,NO,78.5%,Pro,Exp,No,Southeast Wake,Mr. John Tedesco,Southern Area,Mr. Lloyd Gardner,Fuquay-Varina,FUQUAY-VARINA,36,653,29,682,4,803,11.5%,81.3%
325,Banks Road Elementary,E,KI-5 ,Y-R,N/A,658,126,116,124,112,104,76,,,,,,,,326,332,3,9,87,135,,20,404,0.5%,1.4%,13.2%,20.5%,0.0%,3.0%,61.4%,255,38.8%,64,9.7%,84,12.8%,YES,74.7%,Pro,Hgh,No,Southeast Wake,Mr. John Tedesco,Southern Area,Mr. Lloyd Gardner,Fuquay-Varina,FUQUAY-VARINA,51,658,-9,"1,078",0,"1,069",0.0%,61.6%
329,Barwell Elementary,E,KI-5 ,Y-R,N/A,762,122,109,122,132,145,132,,,,,,,,414,348,5,9,454,218,2,25,49,0.7%,1.2%,59.6%,28.6%,0.3%,3.3%,6.4%,509,66.8%,50,6.6%,148,19.4%,YES,53.0%,Pri,Exp,No,Southeast Wake,Mr. John Tedesco,Southwestern Area,Ms. Julye Mizelle,Raleigh,RALEIGH,48,762,-50,"1,009",0,959,0.0%,79.5%
328,Baucom Elementary,E,KI-5 ,T,N/A,833,149,133,150,121,149,131,,,,,,,,448,385,1,53,111,105,1,44,518,0.1%,6.4%,13.3%,12.6%,0.1%,5.3%,62.2%,186,22.3%,33,4.0%,54,6.5%,NO,82.2%,Dst,Hgh,No,Southern Wake,Mr. Ron Margiotta,Southwestern Area,Ms. Julye Mizelle,Apex,APEX,39,833,0,632,10,862,26.7%,96.6%
334,Brassfield Elementary,E,KI-5 ,Y-R,N/A,750,113,133,134,126,114,130,,,,,,,,385,365,2,22,56,84,,29,557,0.3%,2.9%,7.5%,11.2%,0.0%,3.9%,74.3%,101,13.5%,16,2.1%,42,5.6%,NO,89.3%,Dst,Hgh,Yes,North Raleigh,Mr. Kevin L. Hill,Northern Area,Ms. Ann Hooker,Wake County,WAKE COUNTY,35,750,0,659,5,774,14.9%,96.9%
