Code,School Name,Level,Grade Span,Calendar,Magnet Program,School Membership 2011-12,KI GRADE,1st GRADE,2nd GRADE,3rd GRADE,4th GRADE,5th GRADE,6th GRADE,7th GRADE,8th GRADE,9th GRADE,10th GRADE,11th GRADE,12th GRADE,13th GRADE,MALE,FEMALE,American Indian and Alaska Native,Asian,Black or African American,Hispanic or Latino,Native Hawaiian and Other Pacific Islander,Two or More Races,White,% American Indian and Alaska Native,% Asian,% Black or African American,% Hispanic or Latino,% Native Hawaiian and Other Pacific Islander,% Two or More Races,% White,F&R,Percent F&R,ESL,Percent ESL,LEP,Percent LEP,TITLE 1 PROGRAM,NC ABC Results Performance Composite % 2010-11,NC ABC Results Performance Recognition 2010-11,"NC ABC Results Growth Recognition
2010-11",AYP Status 2010-11,School Board District,School Board Member,Area Superintendent District,Area Superintendent,School Location in Municipal Extra Teritorial Jurisdiction,School Location within Municipal Corporate Limit ,Number Permanent Learning Spaces,20th Day Actual Membership,Special Needs Program Adjustment,Existing School Building Capacity,Existing Temporary Classrooms,Annual School Campus Capacity [ASCC],Percent in Temporary Classrooms,Percent Crowding Including Existing Temporary Classrooms
304,Adams Elementary,E,KI-5,Y-R,N/A,820,150,141,132,142,128,127,,,,,,,,,412,408,6,48,90,196,1,29,450,0.7%,5.9%,11.0%,23.9%,0.1%,3.5%,54.9%,311,37.9%,63,7.7%,117,14.3%,YES,87.9%,Dst,Hgh,No,Western Wake,Debra Goldman,Western Area,Jacqueline Ellis,Cary,CARY,37,820,-124,705,8,765,24.1%,107.2%
307,Alston Ridge Elementary,E,KI-5,Y-R,N/A,629,138,117,109,89,99,77,,,,,,,,,308,321,,153,80,48,,34,314,0.0%,24.3%,12.7%,7.6%,0.0%,5.4%,49.9%,67,10.7%,21,3.3%,34,5.4%,NO,89.9%,Dst,Hgh,Yes,Southern Wake,Susan Evans,Western Area,Jacqueline Ellis,Cary,CARY,51,629,0,800,0,800,0.0%,78.6%
308,Apex Elementary,E,KI-5,T,N/A,684,112,115,110,123,101,123,,,,,,,,,348,336,3,18,98,138,,36,391,0.4%,2.6%,14.3%,20.2%,0.0%,5.3%,57.2%,223,32.6%,35,5.1%,61,8.9%,YES,89.7%,Dst,Hgh,No,Southern Wake,Susan Evans,Southwestern Area,Julye Mizelle,Apex,APEX,37,684,-4,586,4,674,13.6%,101.5%
320,Aversboro Elementary,E,KI-5,T,"Small School
STEM Schools",434,50,75,56,83,94,76,,,,,,,,,234,200,3,4,142,89,1,20,175,0.7%,0.9%,32.7%,20.5%,0.2%,4.6%,40.3%,240,55.3%,12,2.8%,47,10.8%,YES,74.6%,Pro,Hgh,No,Southeast Wake,John Tedesco,Southern Area,Lloyd Gardner,Garner,GARNER,40,434,-115,655,0,540,0.0%,80.4%
326,Baileywick Elementary,E,KI-5,T,Small School,442,75,81,64,67,69,86,,,,,,,,,237,205,,6,58,167,,17,194,0.0%,1.4%,13.1%,37.8%,0.0%,3.8%,43.9%,197,44.6%,31,7.0%,97,21.9%,YES,81.5%,Dst,Hgh,No,North Raleigh,Kevin Hill,Northern Area,Pamela Kinsey-Barker,Raleigh,RALEIGH,32,442,-4,471,0,467,0.0%,94.6%
327,Ballentine Elementary,E,KI-5,Y-R,N/A,646,106,102,108,116,109,105,,,,,,,,,344,302,2,8,27,197,1,13,398,0.3%,1.2%,4.2%,30.5%,0.2%,2.0%,61.6%,208,32.2%,81,12.5%,102,15.8%,NO,82%,Dst,Exp,No,Southeast Wake,John Tedesco,Southern Area,Lloyd Gardner,Fuquay-Varina,FUQUAY-VARINA,36,646,-14,682,4,760,12.1%,85.0%
325,Banks Road Elementary,E,KI-5,Y-R,N/A,696,116,117,115,126,110,112,,,,,,,,,350,346,1,6,80,137,,20,452,0.1%,0.9%,11.5%,19.7%,0.0%,2.9%,64.9%,258,37.1%,48,6.9%,72,10.3%,YES,77.9%,Pro,Hgh,No,Southeast Wake,John Tedesco,Southern Area,Lloyd Gardner,Fuquay-Varina,FUQUAY-VARINA,51,696,3,"1,078",0,"1,081",0.0%,64.4%
329,Barwell Elementary,E,KI-5,Y-R,Renaissance School,737,110,129,111,116,129,142,,,,,,,,,403,334,4,25,413,216,1,21,57,0.5%,3.4%,56.0%,29.3%,0.1%,2.8%,7.7%,514,69.7%,75,10.2%,158,21.4%,YES,64.4%,Pro,Hgh,No,Southeast Wake,John Tedesco,Southwestern Area,Julye Mizelle,Raleigh,RALEIGH,48,737,-73,"1,009",0,936,0.0%,78.7%
328,Baucom Elementary,E,KI-5,T,N/A,943,165,158,143,179,139,159,,,,,,,,,499,444,3,52,118,109,1,46,614,0.3%,5.5%,12.5%,11.6%,0.1%,4.9%,65.1%,210,22.3%,40,4.2%,66,7.0%,NO,86.8%,Dst,Hgh,No,Southern Wake,Susan Evans,Southwestern Area,Julye Mizelle,Apex,APEX,39,943,0,632,10,862,26.7%,109.4%
334,Brassfield Elementary,E,KI-5,Y-R,N/A,747,116,116,132,139,122,122,,,,,,,,,376,371,2,25,80,82,1,35,522,0.3%,3.3%,10.7%,11.0%,0.1%,4.7%,69.9%,117,15.7%,19,2.5%,41,5.5%,NO,91.2%,Exc,Hgh,No,North Raleigh,Kevin Hill,Northern Area,Pamela Kinsey-Barker,Wake County,WAKE COUNTY,35,747,0,659,5,774,14.9%,96.5%
