Code,School Name, Level,Grade Span,Calendar,Magnet Programs,School Membership 2012-13,GRD KI,GRD 1,GRD 2,GRD 3,GRD 4,GRD 5,GRD 6,GRD 7,GRD 8,GRD 9,GRD 10,GRD 11,GRD 12,GRD 13,MALE,FEMALE,American Indian and Alaska Native,Asian,Black or African American,Hispanic or Latino,Native Hawaiian and Other Pacific Islander,Two or More Races,White,% American Indian and Alaska Native,% Asian,% Black or African American,% Hispanic or Latino,% Native Hawaiian and Other Pacific Islander,% Two or More Races,% White,F&R,Percent F&R,ESL,Percent ESL,LEP,Percent LEP,TITLE 1 PROGRAM,NC ABC Results Performance Composite % 2011-12,NC ABC Results Performance Recognition 2011-12,"NC ABC Results Growth Recognition
2011-12",Met All AMO Targets,School Board District,School Board Member,Area Superintendent District,Area Superintendent,School Location in Municipal Extra Teritorial Jurisdiction,School Location within Municipal Corporate Limit ,Number Permanent Learning Spaces,20th Day Actual Membership,Special Needs Program Adjustment,Existing School Building Capacity,Long-Range School Campus Capacity [LRSCC],LRSCC Percent Crowding (inc. Prog. Adjustment) ,Existing Temporary Classrooms,Annual School Campus Capacity [ASCC],Percent in Temporary Classrooms,ASCC Percent Crowding 
304,ADAMS ES,E,KI-5,Y-R,,807,145,139,132,122,137,132,,,,,,,,,415,392,5,44,84,210,3,26,435,0.6%,5.5%,10.4%,26.0%,0.4%,3.2%,53.9%,302,37.4%,78,9.7%,139,17.2%,YES,88.7,Dst,Hgh,Yes,Western Wake,Bill Fletcher ,Western Area,Jacqueline Ellis,Cary,CARY,37,807,(124),705,843,112.2%,8,765,24.1%,105.5%
307,ALSTON RIDGE ES,E,KI-5,Y-R tr 4,,757,131,138,133,125,114,116,,,,,,,,,374,383,0,202,79,52,2,33,389,0.0%,26.7%,10.4%,6.9%,0.3%,4.4%,51.4%,72,9.5%,13,1.7%,55,7.3%,NO,91.5,HE,Hgh,Yes,Southern Wake,Susan Evans,Western Area,Jacqueline Ellis,Cary,CARY,51,757,0,800,892,84.9%,0,800,0.0%,94.6%
308,APEX ES,E,KI-5,T,,682,110,114,111,120,116,111,,,,,,,,,348,334,3,19,106,139,0,41,374,0.4%,2.8%,15.5%,20.4%,0.0%,6.0%,54.8%,242,35.5%,38,5.6%,83,12.2%,NO,88.6,Dst,Hgh,Yes,Southern Wake,Susan Evans,Southwestern Area,Clinton Robinson,Apex,APEX,37,682,(41),586,609,120.1%,4,637,14.4%,107.1%
320,AVERSBORO ES,E,KI-5,T,,530,94,88,89,72,93,94,,,,,,,,,276,254,3,5,179,118,1,24,200,0.6%,0.9%,33.8%,22.3%,0.2%,4.5%,37.7%,302,57.0%,23,4.3%,60,11.3%,YES,76.8,Pro,Hgh,Yes,Southeast Wake,John Tedesco,Southern Area,Lloyd Gardner,Garner,GARNER,40,530,(115),655,747,83.9%,0,540,0.0%,98.1%
326,BAILEYWICK ES,E,KI-5,T,,454,85,88,82,61,67,71,,,,,,,,,237,217,0,5,84,152,0,23,190,0.0%,1.1%,18.5%,33.5%,0.0%,5.1%,41.9%,234,51.5%,56,12.3%,110,24.2%,YES,75.6,Pro,Exp,No,North Raleigh,Kevin Hill,Northern Area,Pamela Kinsey-Barker,Raleigh,RALEIGH,32,454,(32),471,471,103.4%,0,439,0.0%,103.4%
327,BALLENTINE ES,E,KI-5,Y-R,,569,88,90,97,89,99,106,,,,,,,,,314,255,2,9,33,140,1,6,378,0.4%,1.6%,5.8%,24.6%,0.2%,1.1%,66.4%,170,29.9%,59,10.4%,86,15.1%,NO,82.8,Dst,Hgh,Yes,Southeast Wake,John Tedesco,Southern Area,Lloyd Gardner,Fuquay-Varina,FUQUAY-VARINA,36,569,(32),682,705,84.5%,4,742,12.4%,76.7%
325,BANKS RD ES,E,KI-5,Y-R,,761,141,127,125,122,131,115,,,,,,,,,397,364,1,5,75,140,0,18,522,0.1%,0.7%,9.9%,18.4%,0.0%,2.4%,68.6%,237,31.1%,55,7.2%,82,10.8%,YES,82.2,Dst,Hgh,Yes,Southeast Wake,John Tedesco,Southern Area,Lloyd Gardner,Fuquay-Varina,FUQUAY-VARINA,51,761,(52),"1,078","1,170",68.1%,0,"1,026",0.0%,74.2%
329,BARWELL RD ES,E,KI-5,Y-R,,633,91,109,114,104,106,109,,,,,,,,,347,286,5,34,348,178,2,20,46,0.8%,5.4%,55.0%,28.1%,0.3%,3.2%,7.3%,442,69.8%,63,10.0%,154,24.3%,YES,74.1,Pro,Hgh,Yes,Southeast Wake,John Tedesco,Southwestern Area,Clinton Robinson,Raleigh,RALEIGH,48,633,(133),"1,009","1,055",68.7%,0,876,0.0%,72.3%
328,BAUCOM ES,E,KI-5,T,,865,136,142,153,137,162,135,,,,,,,,,449,416,4,47,86,100,0,34,594,0.5%,5.4%,9.9%,11.6%,0.0%,3.9%,68.7%,155,17.9%,28,3.2%,53,6.1%,NO,89.6,Dst,Hgh,Yes,Southern Wake,Susan Evans,Southwestern Area,Clinton Robinson,Apex,APEX,39,865,(14),632,816,107.9%,10,848,27.1%,102.0%
334,BRASSFIELD ES,E,KI-5,Y-R,,750,128,128,130,127,124,113,,,,,,,,,400,350,2,27,71,77,1,28,544,0.3%,3.6%,9.5%,10.3%,0.1%,3.7%,72.5%,101,13.5%,25,3.3%,40,5.3%,NO,89.9,Dst,Hgh,Yes,North Raleigh,Kevin Hill,Northern Area,Pamela Kinsey-Barker,Wake County,WAKE COUNTY,35,750,(6),659,659,114.9%,5,768,15.0%,97.7%
336,BRENTWOOD ES,E,KI-5,T,Engineering,441,67,75,74,68,79,78,,,,,,,,,252,189,0,19,168,200,1,13,40,0.0%,4.3%,38.1%,45.4%,0.2%,2.9%,9.1%,346,78.5%,78,17.7%,129,29.3%,YES,64.1,Pro,Exp,No,Central Raleigh,Christine Kushner,Northeastern Area,Andre Smith,Raleigh,RALEIGH,30,441,(112),387,387,160.4%,5,390,29.5%,113.1%
340,BRIARCLIFF ES,E,KI-5,T,,617,108,113,97,83,107,109,,,,,,,,,320,297,1,24,95,173,0,36,288,0.2%,3.9%,15.4%,28.0%,0.0%,5.8%,46.7%,264,42.8%,30,4.9%,89,14.4%,YES,90.0,HE,Hgh,Yes,Western Wake,Bill Fletcher ,Western Area,Jacqueline Ellis,Cary,CARY,35,617,(27),540,563,115.1%,4,605,15.2%,102.0%
342,BRIER CREEK ES,E,KI-5,Y-R,,775,124,160,135,123,118,115,,,,,,,,,400,375,2,65,211,71,0,42,384,0.3%,8.4%,27.2%,9.2%,0.0%,5.4%,49.5%,152,19.6%,35,4.5%,53,6.8%,NO,81.2,Dst,Hgh,Yes,West Raleigh/Morrisville,Deborah Prickett,Northern Area,Pamela Kinsey-Barker,Raleigh,RALEIGH,38,775,(32),728,866,92.9%,6,834,16.5%,92.9%
344,BROOKS ES,E,KI-5,T,Museums,582,90,105,109,91,100,87,,,,,,,,,299,283,1,9,50,79,0,17,426,0.2%,1.5%,8.6%,13.6%,0.0%,2.9%,73.2%,141,24.2%,43,7.4%,62,10.7%,NO,83.2,Dst,Hgh,Yes,Central Raleigh,Christine Kushner,Northern Area,Pamela Kinsey-Barker,Raleigh,RALEIGH,33,582,37,477,500,108.4%,1,537,4.3%,108.4%
