"
School 2003-04"	"Mobile
Units"	Annual Campus Capacity	20th day Enrollment	Annual Campus Percent Crowding	Percent of ESL* Students	Percent of F&R* Students	"Percent 2-YR
AVG., Level 1, 2 Performance (2002-03)"	"High School
Percent
Level 1,2 
Performance (2002-03)"
								
Adams Elementary	4	832	864	104%	11.2%	16.0%	5.7%	
Apex Elementary	0	585	655	112%	3.1%	24.2%	5.0%	
Apex High	20	2098	2047	98%	3.0%	6.6%	NA	3.1%
Apex Middle @ Salem	1	929	1038	112%	2.2%	13.3%	8.0%	
Athens Drive High School	7	1810	1769	98%	5.7%	15.9%	NA	6.0%
Aversboro Elementary	1	401	451	112%	NA	44.7%	15.3%	
Baileywick Road Elementary	0	521	550	106%	10.4%	22.2%	7.8%	
Ballentine Elementary	0	654	470	72%	NA	20.4%	9.4%	
Baucom Elementary	6	843	838	99%	2.0%	11.7%	3.0%	
Brassfield Elementary	5	677	660	97%	NA	10.5%	3.0%	
Brentwood Elementary	5	484	484	100%	14.7%	59.3%	19.1%	
Briarcliff Elementary	0	447	522	117%	17.8%	39.0%	10.2%	
Brooks Museums Elem	0	534	462	87%	NA	37.5%	14.4%	
Broughton High	21	1721	2171	126%	4.3%	14.4%	NA	3.6%
Bugg Elementary	4	399	426	107%	NA	30.5%	12.7%	
Carnage Middle	3	955	1031	108%	NA	30.1%	15.2%	
Carroll Middle	2	947	781	82%	6.0%	38.9%	13.9%	
Carver Elementary	7	589	654	111%	11.9%	58.9%	21.3%	
Cary Elementary	0	539	704	131%	12.1%	34.1%	10.4%	
Cary High	10	1822	2209	121%	6.7%	14.8%	NA	5.2%
Centennial Campus Middle	0	647	532	82%	NA	27.3%	14.6%	
Combs Elementary	3	589	648	110%	11.1%	29.2%	4.3%	
Conn Elementary	2	418	468	112%	NA	41.3%	21.5%	
Creech Road Elementary	3	571	650	114%	14.0%	51.4%	21.6%	
Daniels Middle School	11	1068	947	89%	8.7%	28.3%	11.6%	
Davis Drive Elementary	11	921	945	103%	6.1%	6.8%	1.0%	
Davis Drive Middle	8	1105	1248	113%	2.8%	8.9%	4.2%	
Dillard Drive Elementary	2	645	564	87%	NA	35.7%	8.8%	
Dillard Drive Middle	0	1083	1078	100%	NA	26.4%	8.2%	
Douglas Elementary	4	399	491	123%	11.6%	35.8%	11.0%	
Durant Road Elementary	14	1025	1079	105%	6.8%	15.0%	4.9%	
Durant Road Middle	18	1773	1632	92%	4.2%	19.3%	6.3%	
East Garner Magnet Middle	2	942	825	88%	NA	44.4%	20.0%	
East Millbrook Middle 	6	990	1022	103%	NA	35.2%	14.2%	
East Wake High	10	1870	1975	106%	3.2%	26.2%	NA	13.2%
East Wake Middle	5	916	876	96%	10.7%	44.2%	18.2%	
Enloe High	19	2478	2344	95%	NA	15.4%	NA	7.4%
Farmington Woods Elem	4	695	696	100%	6.0%	19.3%	9.4%	
Fox Road Elementary	18	907	1055	116%	NA	44.7%	12.6%	
Fuller Elementary	2	405	438	108%	NA	38.7%	9.9%	
Fuquay-Varina Middle 	0	964	822	85%	NA	27.8%	15.3%	
Fuquay-Varina Elementary	4	576	668	116%	6.7%	36.6%	14.9%	
Fuquay-Varina High 	2	1711	1518	89%	NA	14.0%	NA	8.0%
Garner Senior High 	10	1787	1867	104%	6.3%	24.0%	NA	11.2%
Green Elementary	4	763	764	100%	10.5%	23.8%	5.0%	
Green Hope Elementary	3	737	893	121%	NA	4.0%	0.7%	
Green Hope High	15	2035	2005	99%	2.0%	4.6%	NA	1.9%
Heritage Elementary	14	1062	978	92%	7.6%	12.4%	6.4%	
Heritage Middle (6th only)			153	0%	NA	10.5%	0.0%	
Hilburn Drive Elementary	0	622	693	111%	NA	19.9%	7.3%	
Hodge Road Elementary	6	585	708	121%	12.9%	50.8%	13.8%	
Holly Ridge Elem (New)	0	585	550	94%	7.5%	28.5%	0.0%	
Holly Ridge Middle (New)	0	949	864	91%	2.5%	26.3%	0.0%	
Holly Springs Elementary	4	746	583	78%	NA	20.8%	13.0%	
Hunter Elementary	3	649	608	94%	NA	24.7%	9.5%	
Jeffreys Grove Elementary	1	500	546	109%	12.8%	35.0%	13.3%	
Joyner Elementary	6	419	397	95%	7.8%	40.2%	18.2%	
Kingswood @ Cedar Fork	0	424	326	77%	7.1%	30.0%	4.7%	
Knightdale Elementary	6	580	724	125%	6.9%	50.3%	19.0%	
Lacy Elementary	3	520	515	99%	5.8%	23.7%	7.2%	
Lead Mine Elementary	1	576	552	96%	8.9%	40.9%	7.5%	
